"filename", "language", "Markdown", "YAML", "comment", "blank", "total"
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\.openspec.yaml", "YAML", 0, 2, 0, 1, 3
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\design.md", "Markdown", 42, 0, 0, 15, 57
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\proposal.md", "Markdown", 23, 0, 0, 9, 32
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\blender-plugin-interface\spec.md", "Markdown", 16, 0, 0, 7, 23
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\capability-catalog\spec.md", "Markdown", 16, 0, 0, 7, 23
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\integration-tests-and-examples\spec.md", "Markdown", 16, 0, 0, 7, 23
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\mcp-core-architecture\spec.md", "Markdown", 19, 0, 0, 8, 27
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\security-and-stability-guardrails\spec.md", "Markdown", 21, 0, 0, 9, 30
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\validation-and-architecture-review\spec.md", "Markdown", 16, 0, 0, 7, 23
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\specs\version-compatibility-policy\spec.md", "Markdown", 16, 0, 0, 7, 23
"z:\8_code\blender-mcp\openspec\changes\build-blender-mcp\tasks.md", "Markdown", 24, 0, 0, 12, 36
"z:\8_code\blender-mcp\openspec\config.yaml", "YAML", 0, 1, 17, 3, 21
"z:\8_code\blender-mcp\openspec\project.md", "Markdown", 21, 0, 0, 11, 32
"Total", "-", 230, 3, 17, 103, 353
