"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"z:\8_code\blender-mcp\blender_mcp\__init__.py", "Python", 0, -5, -1, -3, -9
"z:\8_code\blender-mcp\blender_mcp\adapters\__init__.py", "Python", 0, -1, -1, -1, -3
"z:\8_code\blender-mcp\blender_mcp\adapters\base.py", "Python", 0, -11, -1, -6, -18
"z:\8_code\blender-mcp\blender_mcp\adapters\plugin_contract.py", "Python", 0, -6, -1, -4, -11
"z:\8_code\blender-mcp\blender_mcp\catalog\__init__.py", "Python", 0, -1, -1, -1, -3
"z:\8_code\blender-mcp\blender_mcp\catalog\catalog.py", "Python", 0, -19, -1, -9, -29
"z:\8_code\blender-mcp\blender_mcp\core\__init__.py", "Python", 0, -1, -1, -1, -3
"z:\8_code\blender-mcp\blender_mcp\core\lifecycle.py", "Python", 0, -22, -1, -9, -32
"z:\8_code\blender-mcp\blender_mcp\core\server.py", "Python", 0, -53, -1, -11, -65
"z:\8_code\blender-mcp\blender_mcp\core\types.py", "Python", 0, -20, -1, -8, -29
"z:\8_code\blender-mcp\blender_mcp\security\__init__.py", "Python", 0, -1, -1, -1, -3
"z:\8_code\blender-mcp\blender_mcp\security\allowlist.py", "Python", 0, -10, -1, -6, -17
"z:\8_code\blender-mcp\blender_mcp\security\audit.py", "Python", 0, -18, -1, -9, -28
"z:\8_code\blender-mcp\blender_mcp\security\permissions.py", "Python", 0, -10, -1, -5, -16
"z:\8_code\blender-mcp\blender_mcp\security\rate_limit.py", "Python", 0, -16, -1, -5, -22
"z:\8_code\blender-mcp\blender_mcp\transport\__init__.py", "Python", 0, -1, -1, -1, -3
"z:\8_code\blender-mcp\blender_mcp\transport\base.py", "Python", 0, -16, -1, -7, -24
"z:\8_code\blender-mcp\blender_mcp\transport\stdio.py", "Python", 0, -15, -1, -9, -25
"z:\8_code\blender-mcp\blender_mcp\validation\__init__.py", "Python", 0, -1, -1, -1, -3
"z:\8_code\blender-mcp\blender_mcp\validation\gate.py", "Python", 0, -14, -1, -7, -22
"z:\8_code\blender-mcp\blender_mcp\versioning\__init__.py", "Python", 0, -1, -1, -1, -3
"z:\8_code\blender-mcp\blender_mcp\versioning\support_matrix.py", "Python", 0, -12, -1, -5, -18
"z:\8_code\blender-mcp\docs\architecture\core-lifecycle.md", "Markdown", 9, 0, 0, 3, 12
"z:\8_code\blender-mcp\docs\architecture\plugin-boundary.md", "Markdown", 8, 0, 0, 4, 12
"z:\8_code\blender-mcp\docs\architecture\transport.md", "Markdown", 7, 0, 0, 4, 11
"z:\8_code\blender-mcp\docs\capabilities\catalog.md", "Markdown", 15, 0, 0, 3, 18
"z:\8_code\blender-mcp\docs\research\blender-api.md", "Markdown", 11, 0, 0, 4, 15
"z:\8_code\blender-mcp\docs\research\mcp.md", "Markdown", 13, 0, 0, 4, 17
"z:\8_code\blender-mcp\docs\research\reference-projects.md", "Markdown", 13, 0, 0, 4, 17
"z:\8_code\blender-mcp\docs\security\allowlist.md", "Markdown", 9, 0, 0, 4, 13
"z:\8_code\blender-mcp\docs\security\audit-logging.md", "Markdown", 7, 0, 0, 4, 11
"z:\8_code\blender-mcp\docs\security\permission-scopes.md", "Markdown", 7, 0, 0, 3, 10
"z:\8_code\blender-mcp\docs\security\rate-limits.md", "Markdown", 8, 0, 0, 4, 12
"z:\8_code\blender-mcp\docs\testing\ci-matrix.md", "Markdown", 8, 0, 0, 4, 12
"z:\8_code\blender-mcp\docs\testing\integration-test-plan.md", "Markdown", 10, 0, 0, 3, 13
"z:\8_code\blender-mcp\docs\validation\evaluation-gate.md", "Markdown", 9, 0, 0, 3, 12
"z:\8_code\blender-mcp\docs\versioning\support-matrix.md", "Markdown", 10, 0, 0, 4, 14
"Total", "-", 144, -254, -22, -55, -187
